Site,Date,NO3N.mgl,d15N.NO3,d18O.NO3,,,,
schulze,140730,0.51,0.92,84.21,,,,
mendon,141103,1.43,1.32,80.80,,,,
USU,141017,0.14,2.66,68.99,,,,
schulze,140922,0.41,3.10,72.15,,,,
hall,140318,0.44,3.61,68.14,,,,
GIRF,131204,0.12,4.00,75.41,,,,
mendon,141215,0.24,0.31,77.01,,,,
schulze,140804,0.68,-0.51,68.31,,,,
eiriksson,141001,0.20,2.21,73.39,,,,
waterlab,140429,0.09,-4.67,77.84,,,,
schulze,141103,0.83,8.27,71.44,,,,
schulze,140205,0.30,5.79,81.13,,,,
GIRF,140922,0.47,3.31,69.84,,,,
USU,140923,0.23,1.30,71.69,,,,
mendon,150113,0.13,-0.59,92.59,,,,
mendon,140813,1.12,-1.71,67.41,,,,
bowling,140922,0.34,5.24,65.19,,,,
waterlab,140911,0.42,-2.05,70.74,,,,
USU,150129,0.31,3.66,82.90,,,,
waterlab,140510,0.07,-3.94,75.36,,,,
waterlab,150106,0.16,4.28,86.09,,,,
tarboton,131221,0.14,-0.32,78.25,,,,
GIRF,140820,0.40,-2.43,75.26,,,,
GIRF,150204,1.05,8.69,82.16,,,,
tonygrove,140428,0.11,-5.23,75.64,,,,
USU,140109,0.33,1.98,82.80,,,,
USU,140426,0.12,-3.09,80.67,,,,
bowling,140307,0.24,3.61,66.91,,,,
schulze,140729,0.72,-0.74,65.64,,,,
eiriksson,140814,0.19,-4.09,66.48,,,,
waterlab,140828,0.37,-4.90,72.97,,,,
waterlab,141022,0.84,0.68,70.68,,,,
USU,140510,0.07,-5.72,70.41,,,,
GIRF,131222,0.32,1.74,83.93,,,,
mendon,141017,0.34,3.19,65.40,,,,
mendon,140619,0.21,-11.48,65.96,,,,
USU,140807,0.16,-5.77,67.62,,,,
USU,150112,0.21,2.78,79.41,,,,
todd,140922,0.15,-0.08,64.81,,,,
bowling,140110,0.32,3.09,83.34,,,,
bowling,150210,0.36,-0.13,67.48,,,,
GIRF,150210,0.48,1.05,70.80,,,,
todd,140429,0.13,-2.60,69.30,,,,
todd,140508,0.27,-2.70,73.80,,,,
hall,140511,0.23,-2.40,70.30,,,,
bowling,140526,0.52,-0.30,72.50,,,,
bowling,140720,1.29,1.90,66.30,,,,
hall,140720,2.60,0.80,66.20,,,,
eiriksson,140730,0.46,-2.40,73.70,,,,
GIRF,140813,0.34,-1.10,63.70,,,,
bowling,140820,0.36,-3.20,71.60,,,,
todd,140823,0.45,-4.30,69.40,,,,
hall,140414,0.68,-0.70,69.40,,,,
todd,140604,2.46,0.10,69.80,,,,
