Site,Date,Wet/Dry,Type,d15N.NH4,NH4N.mgl
bowling,131223,wet,funnel,-16.6,0.36
bowling,140331,wet,funnel,3,0.39
bowling,140729,wet,funnel,-0.1,0.84
bowling,140730,wet,funnel,-5.5,1.14
bowling,140804,wet,funnel,-3.8,0.96
bowling,140806,wet,funnel,-3.5,0.96
bowling,140813,wet,funnel,1.3,0.56
bowling,140820,wet,funnel,-1.5,0.53
bowling,140821,wet,funnel,0.2,0.93
bowling,140909,wet,funnel,-1.9,0.52
bowling,141103,wet,funnel,9.3,2.26
bowling,141115,wet,funnel,7,0.08
bowling,141124,wet,funnel,1.9,0.12
bowling,141214,wet,funnel,3.7,0.61
bowling,141221,wet,funnel,-6.2,0.20
bowling,141229,wet,funnel,-7.3,0.34
bowling,150112,wet,funnel,-5.3,0.69
bowling,150113,wet,funnel,-3.1,0.25
bowling,150120,wet,funnel,-6.5,0.36
bowling,150204,wet,funnel,4.5,0.90
eiriksson,131220,wet,funnel,-5.3,0.44
eiriksson,140426,wet,funnel,-4.8,0.25
eiriksson,140428,wet,funnel,-7.8,0.42
eiriksson,140805,wet,funnel,-1.4,0.58
eiriksson,140806,wet,funnel,-2.1,0.51
eiriksson,140813,wet,funnel,6,0.45
eiriksson,141115,wet,funnel,13.9,0.47
eiriksson,141221,wet,funnel,-1.9,0.22
eiriksson,141223,wet,funnel,-1.2,0.16
eiriksson,141226,wet,funnel,-2,0.26
eiriksson,141229,wet,funnel,-12.2,0.39
eiriksson,150113,wet,funnel,-3.7,0.25
eiriksson,150120,wet,funnel,-10,0.42
eiriksson,150204,wet,funnel,1.6,0.66
GIRF,131222,wet,funnel,-11.6,0.36
GIRF,140204,wet,funnel,-4.4,0.43
GIRF,140221,wet,bucket,-4.5,0.18
GIRF,140429,wet,funnel,-9.1,0.42
GIRF,140618,wet,funnel,-4.1,2.16
GIRF,140720,wet,funnel,0.5,1.12
GIRF,140729,wet,funnel,-0.6,0.73
GIRF,140804,wet,funnel,-2.5,1.03
GIRF,140806,wet,funnel,-2.3,0.92
GIRF,140813,wet,funnel,4.2,1.05
GIRF,140814,wet,funnel,-3.4,0.81
GIRF,140820,wet,funnel,-5,0.48
GIRF,140823,wet,funnel,-0.9,0.73
GIRF,140909,wet,funnel,-6.9,0.41
