Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
bowling,131220,Salt Lake,snow,1.24,0.33,0.34,0.00,0.14,0.01,1.24,0.02,0.00,0.19,0.07,0.54,,,,,,,,,,
bowling,131223,Salt Lake,snow,0.64,0.36,0.30,0.00,0.16,0.01,1.84,0.02,0.02,0.24,0.06,1.07,,,,,,,,,,
bowling,140104,Salt Lake,snow,0.19,0.42,0.37,0.01,0.49,0.06,6.45,0.05,0.12,1.07,0.24,3.93,,,,,,,,,,
bowling,140110,Salt Lake,snow,1.17,0.37,0.32,0.00,0.16,0.01,1.63,0.03,0.00,0.30,0.18,0.85,,,,,,,,,,
bowling,140131,Salt Lake,snow,0.34,0.15,0.04,0.00,0.00,0.01,0.49,0.01,0.06,0.52,0.07,0.43,,,,,,,,,,
bowling,140204,Salt Lake,snow,0.29,0.39,0.37,0.00,0.13,0.01,1.97,0.01,0.12,0.82,0.07,1.22,,,,,,,,,,
bowling,140228,Salt Lake,rain,2.54,0.10,0.09,0.00,0.09,0.04,1.08,0.01,0.14,1.12,0.51,0.23,,,,,,,,,,
bowling,140307,Salt Lake,rain,1.79,0.62,0.24,0.02,0.31,0.09,0.50,0.01,0.30,2.10,0.96,0.25,,,,,,,,,,
bowling,140311,Salt Lake,rain,0.15,0.74,0.33,0.01,6.54,0.59,23.65,0.17,3.90,15.69,2.73,16.31,,,,,,,,,,
bowling,140328,Salt Lake,rain,1.09,1.61,0.00,0.00,2.05,1.13,12.78,0.10,1.52,8.85,4.52,8.37,,,,,,,,,,
bowling,140331,Salt Lake,rain,1.97,0.39,0.16,0.01,0.31,0.04,0.78,0.02,0.31,3.28,0.33,0.57,,,,,,,,,,
bowling,140402,Salt Lake,rain,0.76,0.80,0.30,0.02,0.62,0.01,1.52,0.03,0.43,2.39,0.21,0.86,,,,,,,,,,
bowling,140403,Salt Lake,rain,0.23,1.36,0.70,0.02,0.58,0.15,0.93,0.03,0.58,2.35,0.24,0.32,,,,,,,,,,
bowling,140511,Salt Lake,rain,1.79,0.37,0.37,0.00,0.02,0.00,1.02,0.01,0.36,2.38,2.15,1.02,,,,,,,,,,
bowling,140526,Salt Lake,rain,0.18,0.97,0.52,0.01,0.80,1.59,1.06,0.04,0.86,3.51,2.15,0.55,,,,,,,,,,
bowling,140618,Salt Lake,rain,0.44,2.12,2.22,0.01,2.26,1.20,6.40,0.05,1.44,14.65,5.44,4.32,,,,,,,,,,
bowling,140627,Salt Lake,rain,0.35,0.31,1.66,0.01,1.38,0.00,8.30,0.07,1.23,6.77,6.51,4.05,,,,,,,,,,
bowling,140710,Salt Lake,rain,0.16,0.00,2.29,0.01,1.17,0.00,5.46,0.12,1.32,7.02,7.83,2.71,,,,,,,,,,
bowling,140720,Salt Lake,rain,0.41,0.00,1.29,0.00,0.99,0.00,5.54,0.06,0.58,4.09,1.71,3.17,,,,,,,,,,
bowling,140729,Salt Lake,rain,1.45,0.84,0.75,0.01,0.49,0.00,0.68,0.03,0.31,2.92,0.90,0.36,,,,,,,,,,
bowling,140730,Salt Lake,rain,1.00,1.14,0.68,0.01,0.52,0.02,0.31,0.02,0.10,1.25,0.17,0.11,,,,,,,,,,
bowling,140804,Salt Lake,rain,0.43,0.96,0.68,0.02,0.49,0.00,0.33,0.01,0.18,1.83,0.26,0.17,,,,,,,,,,
bowling,140806,Salt Lake,rain,0.61,0.96,0.41,0.01,0.28,0.00,0.29,0.02,0.05,0.76,0.12,0.10,,,,,,,,,,
bowling,140813,Salt Lake,rain,1.25,0.56,0.47,0.01,0.78,0.00,7.34,0.02,0.72,2.33,0.79,4.25,,,,,,,,,,
bowling,140820,Salt Lake,rain,1.62,0.53,0.36,0.01,0.23,0.10,0.51,0.01,0.16,1.57,0.40,0.19,,,,,,,,,,
bowling,140821,Salt Lake,rain,0.24,0.93,0.49,0.01,0.29,0.00,1.14,0.01,0.15,1.74,0.14,0.73,,,,,,,,,,
bowling,140823,Salt Lake,rain,1.54,0.64,0.57,0.01,0.48,0.00,1.32,0.04,0.22,2.02,0.14,0.81,,,,,,,,,,
bowling,140909,Salt Lake,rain,4.38,0.52,0.33,0.01,0.50,0.00,5.06,0.01,0.43,1.56,0.56,2.78,,,,,,,,,,
bowling,140922,Salt Lake,rain,0.61,0.00,0.34,0.00,0.84,0.00,4.81,0.03,0.75,4.11,2.57,2.66,,,,,,,,,,
bowling,140930,Salt Lake,rain,3.87,0.36,0.23,0.01,0.22,0.00,0.60,0.01,0.14,1.30,0.21,0.31,,,,,,,,,,
bowling,141103,Salt Lake,rain,0.39,2.26,1.36,0.05,2.96,1.65,15.17,0.05,1.45,11.81,14.70,8.01,,,,,,,,,,
bowling,141115,Salt Lake,rain,0.38,0.08,0.00,0.18,0.80,0.06,6.54,0.00,3.99,14.11,10.71,1.42,,,,,,,,,,
bowling,141121,Salt Lake,rain,2.48,0.22,0.10,0.02,0.10,0.00,0.24,0.01,0.02,0.82,0.09,0.14,,,,,,,,,,
bowling,141124,Salt Lake,rain,1.54,0.12,0.14,0.01,0.23,0.00,3.20,0.01,0.46,2.39,1.78,1.28,,,,,,,,,,
bowling,141214,Salt Lake,rain,0.73,0.61,0.56,0.03,0.65,0.02,2.93,0.05,0.39,3.54,0.57,1.83,,,,,,,,,,
bowling,141222,Salt Lake,rain,1.86,0.00,0.00,0.00,0.04,0.00,0.40,0.03,0.45,2.10,0.00,0.14,,,,,,,,,,
bowling,141226,Salt Lake,rain,0.96,0.26,0.15,0.00,0.21,0.00,2.52,0.01,0.13,0.89,0.00,1.29,,,,,,,,,,
bowling,141229,Salt Lake,rain,0.37,0.34,0.31,0.00,0.12,0.00,3.20,0.02,0.06,0.42,0.00,1.90,,,,,,,,,,
bowling,150112,Salt Lake,rain,1.89,0.69,0.49,0.05,0.59,0.00,10.70,0.04,0.27,2.43,0.36,6.59,,,,,,,,,,
bowling,150113,Salt Lake,rain,3.05,0.25,0.11,0.02,0.08,0.00,0.11,0.01,0.02,0.38,0.06,0.05,,,,,,,,,,
bowling,150120,Salt Lake,rain,0.76,0.36,0.22,0.03,0.31,0.00,1.73,0.02,0.11,1.34,0.16,1.02,,,,,,,,,,
bowling,150204,Salt Lake,rain,0.18,0.90,1.03,0.09,1.49,0.00,5.49,0.13,0.38,7.91,0.65,3.28,,,,,,,,,,
bowling,150210,Salt Lake,rain,0.55,0.29,0.36,0.01,0.65,0.00,1.32,0.03,0.25,2.82,1.58,0.91,,,,,,,,,,
eiriksson,131220,Salt Lake,snow,1.30,0.44,0.41,0.00,0.21,0.03,1.76,0.00,0.05,0.41,0.16,0.89,,,,,,,,,,
eiriksson,131221,Salt Lake,snow,0.33,0.33,0.25,0.00,0.16,0.02,4.07,0.04,0.06,0.34,0.12,2.60,,,,,,,,,,
eiriksson,140105,Salt Lake,snow,0.17,0.81,0.43,0.01,0.93,0.02,13.63,0.07,0.16,2.44,0.33,8.38,,,,,,,,,,
eiriksson,140110,Salt Lake,snow,1.17,0.54,0.42,0.02,1.25,1.45,3.96,0.05,0.27,1.39,5.23,2.07,,,,,,,,,,
eiriksson,140205,Salt Lake,snow,0.23,0.28,0.45,0.01,0.34,0.00,9.49,0.05,0.15,2.14,0.29,5.72,,,,,,,,,,
eiriksson,140301,Salt Lake,rain,1.66,0.00,0.00,0.00,0.32,0.25,1.54,0.01,0.19,1.80,2.23,0.46,,,,,,,,,,
eiriksson,140331,Salt Lake,rain,0.94,0.33,0.17,0.01,0.51,0.26,1.00,0.02,0.33,3.20,1.64,0.70,,,,,,,,,,
eiriksson,140420,Salt Lake,rain,0.05,0.25,0.30,0.01,0.93,0.00,2.25,0.01,0.29,2.91,0.23,2.33,,,,,,,,,,
eiriksson,140425,Salt Lake,rain,0.72,0.00,0.00,0.00,9.79,0.07,41.95,0.08,2.72,17.38,5.47,46.95,,,,,,,,,,
eiriksson,140426,Salt Lake,rain,0.50,0.25,0.31,0.01,0.00,0.00,2.23,0.03,0.30,2.90,0.19,2.37,,,,,,,,,,
eiriksson,140428,Salt Lake,rain,2.50,0.42,0.16,0.01,0.39,0.00,0.84,0.01,0.20,1.28,0.27,0.47,,,,,,,,,,
eiriksson,140508,Salt Lake,rain,1.82,0.64,0.36,0.01,0.56,0.00,1.31,0.03,0.29,2.19,0.37,0.79,,,,,,,,,,
eiriksson,140511,Salt Lake,rain,1.72,0.42,0.19,0.01,0.25,0.01,0.26,0.01,0.10,1.03,0.24,0.25,,,,,,,,,,
eiriksson,140527,Salt Lake,rain,0.18,0.64,0.88,0.01,1.66,0.08,5.68,0.12,1.57,9.26,2.16,2.96,,,,,,,,,,
eiriksson,140618,Salt Lake,rain,1.71,0.83,0.58,0.01,0.85,0.07,2.70,0.01,0.47,4.17,1.51,1.67,,,,,,,,,,
eiriksson,140627,Salt Lake,rain,0.79,0.62,0.57,0.01,0.68,0.00,3.25,0.03,0.46,3.73,0.52,1.77,,,,,,,,,,
eiriksson,140710,Salt Lake,rain,0.13,0.73,2.90,0.01,2.04,0.00,6.72,0.21,1.70,12.27,2.93,4.30,,,,,,,,,,
eiriksson,140720,Salt Lake,rain,0.06,0.66,0.85,0.01,1.49,0.96,5.96,0.10,1.94,10.05,11.71,3.45,,,,,,,,,,
eiriksson,140729,Salt Lake,rain,0.42,0.25,0.41,0.01,0.36,0.06,1.16,0.04,0.36,3.07,0.46,0.75,,,,,,,,,,
eiriksson,140730,Salt Lake,rain,1.69,0.83,0.46,0.01,0.49,0.00,0.22,0.01,0.07,2.19,0.07,0.11,,,,,,,,,,
eiriksson,140805,Salt Lake,rain,1.78,0.58,0.37,0.01,0.29,0.00,0.23,0.01,0.13,1.57,0.11,0.11,,,,,,,,,,
